都道府県,報告日時,予報日時,天気,気温,最高気温,最低気温
北海道,2023-11-06T11:00:00+09:00,2023-11-06T11:00:00+09:00,くもり　時々　雨,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,雨　昼過ぎ　から　くもり　後　晴れ　所により　昼前　まで　霧,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-08T00:00:00+09:00,晴れ　時々　くもり,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T11:00:00+09:00,くもり　時々　雨,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,雨　昼過ぎ　から　くもり　後　晴れ　所により　昼前　まで　霧,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-08T00:00:00+09:00,晴れ　時々　くもり,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T11:00:00+09:00,くもり　時々　雨,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,雨　昼前　から　くもり　後　晴れ,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-08T00:00:00+09:00,晴れ　時々　くもり,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T12:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T18:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T12:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T18:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T12:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T18:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T09:00:00+09:00,,16,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T00:00:00+09:00,,16,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,,15,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T09:00:00+09:00,,17,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T00:00:00+09:00,,17,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,,15,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T09:00:00+09:00,,9,,
北海道,2023-11-06T11:00:00+09:00,2023-11-06T00:00:00+09:00,,9,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,,9,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-08T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-09T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-10T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-11T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-12T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-13T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-07T00:00:00+09:00,,,,
北海道,2023-11-06T11:00:00+09:00,2023-11-08T00:00:00+09:00,,,14,8
北海道,2023-11-06T11:00:00+09:00,2023-11-09T00:00:00+09:00,,,14,6
北海道,2023-11-06T11:00:00+09:00,2023-11-10T00:00:00+09:00,,,17,8
北海道,2023-11-06T11:00:00+09:00,2023-11-11T00:00:00+09:00,,,9,3
北海道,2023-11-06T11:00:00+09:00,2023-11-12T00:00:00+09:00,,,8,2
北海道,2023-11-06T11:00:00+09:00,2023-11-13T00:00:00+09:00,,,7,2
