都道府県,データ配信元,報告日時,地方名,予報日時,天気,風,波
東京,気象庁,2023-11-02T11:00:00+09:00,東京地方,2023-11-02T11:00:00+09:00,晴れ,南の風,０．５メートル
東京,気象庁,2023-11-02T11:00:00+09:00,東京地方,2023-11-03T00:00:00+09:00,晴れ,北の風　後　南の風,０．５メートル
東京,気象庁,2023-11-02T11:00:00+09:00,東京地方,2023-11-04T00:00:00+09:00,晴れ　時々　くもり,南西の風　後　南の風,０．５メートル
東京,気象庁,2023-11-02T11:00:00+09:00,伊豆諸島北部,2023-11-02T11:00:00+09:00,晴れ,北東の風　後　南の風,１．５メートル
東京,気象庁,2023-11-02T11:00:00+09:00,伊豆諸島北部,2023-11-03T00:00:00+09:00,晴れ　時々　くもり,西の風　後　南西の風,１．５メートル
東京,気象庁,2023-11-02T11:00:00+09:00,伊豆諸島北部,2023-11-04T00:00:00+09:00,晴れ　時々　くもり,南西の風,１．５メートル
東京,気象庁,2023-11-02T11:00:00+09:00,伊豆諸島南部,2023-11-02T11:00:00+09:00,晴れ,西の風,１．５メートル
東京,気象庁,2023-11-02T11:00:00+09:00,伊豆諸島南部,2023-11-03T00:00:00+09:00,晴れ　時々　くもり,西の風　後　南西の風,１．５メートル
東京,気象庁,2023-11-02T11:00:00+09:00,伊豆諸島南部,2023-11-04T00:00:00+09:00,晴れ　時々　くもり,南の風,１．５メートル
東京,気象庁,2023-11-02T11:00:00+09:00,小笠原諸島,2023-11-02T11:00:00+09:00,晴れ　時々　くもり,北東の風　後　やや強く,２メートル　うねり　を伴う
東京,気象庁,2023-11-02T11:00:00+09:00,小笠原諸島,2023-11-03T00:00:00+09:00,くもり　昼過ぎ　まで　時々　晴れ　所により　夕方　から　雨,北東の風　やや強く　後　東の風　やや強く,２メートル　後　２．５メートル　うねり　を伴う
東京,気象庁,2023-11-02T11:00:00+09:00,小笠原諸島,2023-11-04T00:00:00+09:00,くもり　時々　晴れ,東の風　やや強く,３メートル　うねり　を伴う
